8-hour-bayer-650mg-tablet-extended-release|8-Hour Bayer 650mg Tablet, Extended Release|Aspirin|8-Hour Bayer|Tablet, Extended Release|650mg
8-mop-10mg-capsule|8-Mop 10mg Capsule|Methoxsalen|8-Mop|Capsule|10mg
a-hydrocort-eq-100mg-base-vial-injectable|A-Hydrocort EQ 100mg BASE/VIAL Injectable|Hydrocortisone Sodium Succinate|A-Hydrocort|Injectable|EQ 100mg BASE/VIAL
a-hydrocort-eq-1gm-base-vial-injectable|A-Hydrocort EQ 1GM BASE/VIAL Injectable|Hydrocortisone Sodium Succinate|A-Hydrocort|Injectable|EQ 1GM BASE/VIAL
a-hydrocort-eq-250mg-base-vial-injectable|A-Hydrocort EQ 250mg BASE/VIAL Injectable|Hydrocortisone Sodium Succinate|A-Hydrocort|Injectable|EQ 250mg BASE/VIAL
a-hydrocort-eq-500mg-base-vial-injectable|A-Hydrocort EQ 500mg BASE/VIAL Injectable|Hydrocortisone Sodium Succinate|A-Hydrocort|Injectable|EQ 500mg BASE/VIAL
a-methapred-eq-125mg-base-vial-injectable|A-Methapred EQ 125mg BASE/VIAL Injectable|Methylprednisolone Sodium Succinate|A-Methapred|Injectable|EQ 125mg BASE/VIAL
a-methapred-eq-1gm-base-vial-injectable|A-Methapred EQ 1GM BASE/VIAL Injectable|Methylprednisolone Sodium Succinate|A-Methapred|Injectable|EQ 1GM BASE/VIAL
a-methapred-eq-40mg-base-vial-injectable|A-Methapred EQ 40mg BASE/VIAL Injectable|Methylprednisolone Sodium Succinate|A-Methapred|Injectable|EQ 40mg BASE/VIAL
a-methapred-eq-500mg-base-vial-injectable|A-Methapred EQ 500mg BASE/VIAL Injectable|Methylprednisolone Sodium Succinate|A-Methapred|Injectable|EQ 500mg BASE/VIAL
a-poxide-10mg-capsule|A-Poxide 10mg Capsule|Chlordiazepoxide Hydrochloride|A-Poxide|Capsule|10mg
a-poxide-25mg-capsule|A-Poxide 25mg Capsule|Chlordiazepoxide Hydrochloride|A-Poxide|Capsule|25mg
a-poxide-5mg-capsule|A-Poxide 5mg Capsule|Chlordiazepoxide Hydrochloride|A-Poxide|Capsule|5mg
